# Kinmatech Trajectory
# Format: J1, J2, J3, J4, J5, J6, Phase, X(mm), Y(mm), Z(mm), RX(deg), RY(deg), RZ(deg), WeldOn, Current(%), Voltage(%), WeavePattern, WeaveLat(mm), WeaveVert(mm), Comment
# Total points: 1586  Weld ON: 1586  Weave: 1586  Patterns: Sine
# Phases: ACCEL: 267  CRUISE: 1050  DECEL: 266  STOP: 3

-73.670, 8.418, 25.760, 176.740, 62.863, -51.409, CRUISE, 294.49, -1038.28, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -1.26, +0.00, Lin 0-1 t=0.295 +Sine
-73.588, 8.291, 25.650, 176.724, 62.851, -51.319, CRUISE, 296.47, -1039.63, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -2.61, +0.00, Lin 0-1 t=0.307 +Sine
-73.491, 8.227, 25.594, 176.705, 62.849, -51.214, CRUISE, 298.44, -1040.00, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -2.98, +0.00, Lin 0-1 t=0.318 +Sine
-73.376, 8.235, 25.600, 176.683, 62.856, -51.092, CRUISE, 300.42, -1039.27, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -2.25, +0.00, Lin 0-1 t=0.330 +Sine
-73.249, 8.297, 25.654, 176.659, 62.871, -50.956, CRUISE, 302.39, -1037.69, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -0.67, +0.00, Lin 0-1 t=0.341 +Sine
-73.117, 8.376, 25.723, 176.635, 62.888, -50.815, CRUISE, 304.37, -1035.86, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +1.16, +0.00, Lin 0-1 t=0.352 +Sine
-72.991, 8.428, 25.769, 176.611, 62.902, -50.681, CRUISE, 306.35, -1034.47, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +2.55, +0.00, Lin 0-1 t=0.364 +Sine
-72.880, 8.419, 25.761, 176.590, 62.907, -50.562, CRUISE, 308.32, -1034.03, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +2.99, +0.00, Lin 0-1 t=0.375 +Sine
-72.787, 8.338, 25.691, 176.572, 62.902, -50.462, CRUISE, 310.30, -1034.70, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +2.32, +0.00, Lin 0-1 t=0.386 +Sine
-72.709, 8.201, 25.571, 176.557, 62.889, -50.377, CRUISE, 312.27, -1036.24, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +0.78, +0.00, Lin 0-1 t=0.398 +Sine
-72.635, 8.044, 25.434, 176.542, 62.874, -50.297, CRUISE, 314.25, -1038.07, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -1.05, +0.00, Lin 0-1 t=0.409 +Sine
-72.556, 7.911, 25.317, 176.527, 62.862, -50.212, CRUISE, 316.23, -1039.51, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -2.49, +0.00, Lin 0-1 t=0.420 +Sine
-72.463, 7.836, 25.251, 176.509, 62.858, -50.111, CRUISE, 318.20, -1040.02, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -3.00, +0.00, Lin 0-1 t=0.432 +Sine
-72.351, 7.833, 25.248, 176.488, 62.864, -49.992, CRUISE, 320.18, -1039.41, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -2.39, +0.00, Lin 0-1 t=0.443 +Sine
-72.225, 7.887, 25.296, 176.464, 62.878, -49.857, CRUISE, 322.16, -1037.91, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -0.89, +0.00, Lin 0-1 t=0.455 +Sine
-72.092, 7.963, 25.363, 176.439, 62.895, -49.716, CRUISE, 324.13, -1036.07, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +0.95, +0.00, Lin 0-1 t=0.466 +Sine
-71.965, 8.017, 25.410, 176.416, 62.910, -49.580, CRUISE, 326.11, -1034.59, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +2.43, +0.00, Lin 0-1 t=0.477 +Sine
