# Kinmatech Trajectory
# Format: J1, J2, J3, J4, J5, J6, Phase, X(mm), Y(mm), Z(mm), RX(deg), RY(deg), RZ(deg), WeldOn, Current(%), Voltage(%), WeavePattern, WeaveLat(mm), WeaveVert(mm), Comment
# Total points: 241  Weld ON: 0  Weave: 0
# Phases: ACCEL: 36  CRUISE: 167  DECEL: 36  STOP: 2

-81.405, 44.606, 61.415, -152.142, -18.696, 63.348, CRUISE, 82.99, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.305
-80.897, 44.514, 61.380, -150.822, -18.979, 62.109, CRUISE, 87.98, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.316
-80.391, 44.417, 61.343, -149.549, -19.272, 60.917, CRUISE, 92.96, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.326
-79.886, 44.315, 61.304, -148.321, -19.576, 59.771, CRUISE, 97.95, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.337
-79.383, 44.208, 61.263, -147.137, -19.889, 58.670, CRUISE, 102.93, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.347
-78.881, 44.096, 61.220, -145.998, -20.211, 57.614, CRUISE, 107.92, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.358
-78.381, 43.979, 61.175, -144.901, -20.541, 56.602, CRUISE, 112.90, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.368
-77.882, 43.857, 61.129, -143.846, -20.879, 55.631, CRUISE, 117.89, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.379
-77.386, 43.730, 61.080, -142.831, -21.225, 54.702, CRUISE, 122.87, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.389
-76.892, 43.598, 61.029, -141.855, -21.577, 53.813, CRUISE, 127.86, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.400
-76.399, 43.462, 60.976, -140.918, -21.935, 52.963, CRUISE, 132.85, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.411
-75.909, 43.321, 60.921, -140.017, -22.299, 52.151, CRUISE, 137.83, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.421
-75.420, 43.176, 60.864, -139.152, -22.668, 51.374, CRUISE, 142.82, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.432
-74.934, 43.026, 60.805, -138.320, -23.042, 50.633, CRUISE, 147.80, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.442
-74.450, 42.871, 60.744, -137.522, -23.420, 49.925, CRUISE, 152.79, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.453
-73.968, 42.713, 60.682, -136.754, -23.803, 49.249, CRUISE, 157.77, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.463
-73.489, 42.549, 60.617, -136.017, -24.188, 48.604, CRUISE, 162.76, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.474
-73.012, 42.382, 60.550, -135.308, -24.577, 47.989, CRUISE, 167.74, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.484
-72.537, 42.210, 60.481, -134.627, -24.969, 47.403, CRUISE, 172.73, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.495
-72.065, 42.034, 60.411, -133.973, -25.363, 46.844, CRUISE, 177.71, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.505
-71.595, 41.855, 60.338, -133.343, -25.760, 46.310, CRUISE, 182.70, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.516
-71.128, 41.671, 60.263, -132.738, -26.158, 45.802, CRUISE, 187.68, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.526
-70.664, 41.483, 60.187, -132.156, -26.558, 45.318, CRUISE, 192.67, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.537
-70.202, 41.291, 60.108, -131.596, -26.959, 44.857, CRUISE, 197.65, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.547
-69.743, 41.096, 60.028, -131.056, -27.361, 44.418, CRUISE, 202.64, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.558
-69.286, 40.897, 59.946, -130.537, -27.764, 44.000, CRUISE, 207.62, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.568
-68.832, 40.694, 59.861, -130.036, -28.168, 43.601, CRUISE, 212.61, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.579
-68.381, 40.487, 59.775, -129.554, -28.572, 43.222, CRUISE, 217.59, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.589
-67.933, 40.277, 59.687, -129.090, -28.977, 42.861, CRUISE, 222.58, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.600
-67.488, 40.064, 59.597, -128.641, -29.381, 42.518, CRUISE, 227.57, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.611
-67.045, 39.847, 59.506, -128.209, -29.786, 42.191, CRUISE, 232.55, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.621
-66.605, 39.627, 59.412, -127.791, -30.189, 41.881, CRUISE, 237.54, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.632
-66.169, 39.404, 59.316, -127.388, -30.593, 41.585, CRUISE, 242.52, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.642
-65.735, 39.178, 59.219, -126.999, -30.996, 41.304, CRUISE, 247.51, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.653
-65.304, 38.948, 59.119, -126.622, -31.398, 41.037, CRUISE, 252.49, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.663
-64.876, 38.716, 59.018, -126.258, -31.799, 40.783, CRUISE, 257.48, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.674
-64.451, 38.480, 58.915, -125.906, -32.198, 40.542, CRUISE, 262.46, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.684
-64.029, 38.242, 58.810, -125.564, -32.597, 40.314, CRUISE, 267.45, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.695
-63.610, 38.001, 58.704, -125.234, -32.994, 40.096, CRUISE, 272.43, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.705
-63.194, 37.758, 58.595, -124.914, -33.390, 39.890, CRUISE, 277.42, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.716
-62.781, 37.511, 58.485, -124.604, -33.785, 39.694, CRUISE, 282.40, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.726
-62.371, 37.263, 58.373, -124.303, -34.178, 39.509, CRUISE, 287.39, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.737
-61.964, 37.011, 58.259, -124.010, -34.569, 39.333, CRUISE, 292.37, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.747
-61.560, 36.757, 58.143, -123.727, -34.958, 39.166, CRUISE, 297.36, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.758
-61.160, 36.501, 58.025, -123.451, -35.345, 39.008, CRUISE, 302.34, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.768
-60.762, 36.243, 57.906, -123.183, -35.731, 38.858, CRUISE, 307.33, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.779
-60.367, 35.982, 57.785, -122.922, -36.114, 38.717, CRUISE, 312.31, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.789
-59.976, 35.720, 57.662, -122.668, -36.495, 38.583, CRUISE, 317.30, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.800
-59.587, 35.455, 57.537, -122.421, -36.874, 38.457, CRUISE, 322.29, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.811
-59.202, 35.188, 57.411, -122.181, -37.251, 38.337, CRUISE, 327.27, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.821
-58.820, 34.919, 57.283, -121.946, -37.625, 38.224, CRUISE, 332.26, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.832
-58.440, 34.649, 57.153, -121.717, -37.997, 38.118, DECEL, 337.24, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.842
-58.064, 34.376, 57.022, -121.494, -38.367, 38.017, DECEL, 342.23, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.853
-57.691, 34.102, 56.888, -121.276, -38.734, 37.923, DECEL, 347.21, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.863
-57.321, 33.826, 56.754, -121.063, -39.099, 37.834, DECEL, 352.20, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.874
