# Kinmatech Trajectory
# Format: J1, J2, J3, J4, J5, J6, Phase, X(mm), Y(mm), Z(mm), RX(deg), RY(deg), RZ(deg), WeldOn, Current(%), Voltage(%), WeavePattern, WeaveLat(mm), WeaveVert(mm), Comment
# Total points: 200  Weld ON: 200  Weave: 167  Patterns: Circle
# Phases: ACCEL: 35  CRUISE: 146  DECEL: 17  STOP: 2

-120.366, -18.011, 127.959, -91.816, 116.598, -124.046, ACCEL, 301.36, 187.29, 851.46, 72.49, -24.38, 45.38, 1, 50.0, 30.0, , +0.00, +0.00, Curve u=0.096
-120.431, -17.707, 128.221, -91.831, 116.545, -123.996, ACCEL, 303.78, 190.55, 852.28, 72.49, -24.38, 45.38, 1, 50.0, 30.0, , +0.00, +0.00, Curve u=0.103
-120.525, -17.385, 128.482, -91.852, 116.469, -123.926, ACCEL, 306.42, 193.77, 852.92, 72.49, -24.38, 45.38, 1, 50.0, 30.0, , +0.00, +0.00, Curve u=0.110
-120.646, -17.050, 128.743, -91.882, 116.371, -123.839, ACCEL, 309.25, 196.93, 853.38, 72.49, -24.38, 45.38, 1, 50.0, 30.0, , +0.00, +0.00, Curve u=0.118
-121.167, -16.736, 128.954, -92.116, 115.945, -123.707, ACCEL, 314.17, 198.11, 853.29, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -2.71, -0.39, Curve u=0.125 +Circle
-121.211, -16.444, 129.242, -92.138, 115.909, -123.701, ACCEL, 316.62, 201.66, 854.55, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -1.81, +0.72, Curve u=0.132 +Circle
-120.892, -15.984, 129.563, -91.895, 116.177, -123.557, ACCEL, 317.43, 207.43, 854.53, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +2.00, +0.67, Curve u=0.140 +Circle
-121.024, -15.531, 129.799, -91.862, 116.075, -123.312, ACCEL, 320.53, 210.68, 853.30, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +2.58, -0.46, Curve u=0.147 +Circle
-121.706, -15.261, 129.950, -92.184, 115.519, -123.157, ACCEL, 326.17, 210.41, 852.71, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -0.99, -0.85, Curve u=0.154 +Circle
-122.200, -15.040, 130.154, -92.450, 115.114, -123.121, ACCEL, 330.84, 211.19, 853.39, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -2.97, +0.12, Curve u=0.162 +Circle
